session_key,meeting_key,driver_number,date,position
9541,1239,55,2024-06-29T14:02:40.934000+00:00,3
9541,1239,55,2024-06-29T14:02:44.915000+00:00,4
9541,1239,55,2024-06-29T14:02:58.008000+00:00,5
9541,1239,55,2024-06-29T14:02:59.845000+00:00,6
9541,1239,55,2024-06-29T14:03:05.288000+00:00,7
9541,1239,55,2024-06-29T14:03:36.064000+00:00,1
9541,1239,55,2024-06-29T14:03:46.872000+00:00,2
9541,1239,55,2024-06-29T14:03:55.308000+00:00,3
9541,1239,55,2024-06-29T14:04:05.733000+00:00,4
9541,1239,55,2024-06-29T14:04:21.696000+00:00,5
9541,1239,55,2024-06-29T14:07:31.253000+00:00,6
9541,1239,55,2024-06-29T14:09:03.479000+00:00,7
9541,1239,55,2024-06-29T14:09:18.334000+00:00,1
9541,1239,55,2024-06-29T14:25:04.483000+00:00,2
9541,1239,55,2024-06-29T14:25:15.530000+00:00,3
9541,1239,55,2024-06-29T14:25:19.671000+00:00,1
9541,1239,55,2024-06-29T14:26:35.385000+00:00,2
9541,1239,55,2024-06-29T14:26:46.376000+00:00,3
9541,1239,55,2024-06-29T14:26:56.103000+00:00,1
9541,1239,55,2024-06-29T14:27:41.037000+00:00,2
9541,1239,55,2024-06-29T14:27:52.024000+00:00,3
9541,1239,55,2024-06-29T14:28:12.366000+00:00,4
9541,1239,55,2024-06-29T14:31:05.124000+00:00,5
9541,1239,55,2024-06-29T14:31:15.740000+00:00,6
9541,1239,55,2024-06-29T14:31:27.015000+00:00,7
9541,1239,55,2024-06-29T14:33:42.259000+00:00,2
9541,1239,55,2024-06-29T14:48:53.599000+00:00,3
9541,1239,55,2024-06-29T14:49:03.452000+00:00,4
9541,1239,55,2024-06-29T14:49:34.648000+00:00,1
9541,1239,55,2024-06-29T14:49:53.320000+00:00,2
9541,1239,55,2024-06-29T14:50:25.541000+00:00,3
9541,1239,55,2024-06-29T14:50:37.263000+00:00,4
9541,1239,55,2024-06-29T14:51:01.677000+00:00,1
9541,1239,55,2024-06-29T14:51:31.565000+00:00,2
9541,1239,55,2024-06-29T14:51:32.394000+00:00,3
9541,1239,55,2024-06-29T14:51:45.375000+00:00,4
9541,1239,55,2024-06-29T14:52:06.924000+00:00,1
9541,1239,55,2024-06-29T14:52:19.843000+00:00,2
9541,1239,55,2024-06-29T14:52:36.877000+00:00,3
9541,1239,55,2024-06-29T14:52:42.924000+00:00,4
9541,1239,55,2024-06-29T14:52:55.502000+00:00,5
9541,1239,55,2024-06-29T14:53:18.199000+00:00,6
9541,1239,55,2024-06-29T14:53:30.909000+00:00,7
9541,1239,55,2024-06-29T14:59:59.200000+00:00,4
9541,1239,55,2024-06-29T15:01:01.763000+00:00,5
9541,1239,55,2024-06-29T15:01:26.123000+00:00,4
9550,1239,55,2024-06-30T12:07:38.634000+00:00,4
9550,1239,55,2024-06-30T13:03:23.598000+00:00,5
9550,1239,55,2024-06-30T13:10:11.227000+00:00,4
9550,1239,55,2024-06-30T13:30:27.676000+00:00,5
9550,1239,55,2024-06-30T13:34:12.971000+00:00,4
9550,1239,55,2024-06-30T13:57:44.383000+00:00,3
9550,1239,55,2024-06-30T13:58:58.455000+00:00,4
